frame_number,detection_id,tracking_id,manual_timestamp,wall_time_iso,overlay_time,overlay_date,overlay_gps,overlay_accel_g,overlay_gyro_deg_s,overlay_ok,overlay_conf,overlay_ms,class,confidence,bbox_x,bbox_y,bbox_w,bbox_h,position,distance_m
126,1.0,3.0,16:51:50.500,2025-09-03T00:14:34.776381,,,,,,False,0.0,443.3,bus,0.814,409.2,254.3,221.2,258.8,center,33.4
127,1.0,3.0,16:51:50.600,2025-09-03T00:14:35.493870,,,,,,False,0.0,441.6,bus,0.807,396.5,256.2,232.3,262.4,center,33.0
128,1.0,3.0,16:51:50.700,2025-09-03T00:14:36.207476,,,,,,False,0.0,447.2,bus,0.796,389.1,248.4,240.5,271.9,center,31.8
128,2.0,3.0,16:51:50.700,2025-09-03T00:14:36.207476,,,,,,False,0.0,447.2,truck,0.708,388.3,257.9,240.8,261.5,center,36.2
129,1.0,3.0,16:51:50.800,2025-09-03T00:14:36.937100,,,,,,False,0.0,443.4,bus,0.711,384.6,256.6,234.0,266.0,center,32.5
130,1.0,3.0,16:51:50.900,2025-09-03T00:14:37.658556,,,,,,False,0.0,425.2,bus,0.706,380.7,256.9,229.1,266.0,center,32.5
131,1.0,3.0,16:51:51.000,2025-09-03T00:14:38.364098,,,,,,False,0.0,440.0,bus,0.688,363.4,254.2,237.4,266.7,center,32.4
132,1.0,3.0,16:51:51.100,2025-09-03T00:14:39.071321,,,,,,False,0.0,440.8,bus,0.703,341.4,245.6,245.5,266.2,center,32.5
133,1.0,3.0,16:51:51.200,2025-09-03T00:14:39.782073,,,,,,False,0.0,450.5,bus,0.807,348.1,240.3,234.7,263.3,center,32.9
134,1.0,3.0,16:51:51.300,2025-09-03T00:14:40.512531,,,,,,False,0.0,441.1,bus,0.811,345.9,241.5,239.1,266.6,center,32.5
134,2.0,6.0,16:51:51.300,2025-09-03T00:14:40.512531,,,,,,False,0.0,441.1,person,0.663,789.0,335.0,32.0,70.0,center,65.7
135,1.0,3.0,16:51:51.400,2025-09-03T00:14:41.228691,,,,,,False,0.0,439.6,bus,0.826,339.0,245.3,248.1,267.6,center,32.3
135,2.0,6.0,16:51:51.400,2025-09-03T00:14:41.228691,,,,,,False,0.0,439.6,person,0.613,791.8,342.0,29.9,63.0,center,73.0
136,1.0,3.0,16:51:51.500,2025-09-03T00:14:41.945965,,,,,,False,0.0,436.3,bus,0.835,341.1,252.1,247.3,272.1,center,31.8
136,2.0,6.0,16:51:51.500,2025-09-03T00:14:41.945965,,,,,,False,0.0,436.3,person,0.601,796.8,347.6,30.7,62.3,center,73.8
137,1.0,3.0,16:51:51.600,2025-09-03T00:14:42.656602,,,,,,False,0.0,440.6,bus,0.831,338.9,247.8,250.6,276.2,center,31.3
137,2.0,6.0,16:51:51.600,2025-09-03T00:14:42.656602,,,,,,False,0.0,440.6,person,0.552,796.3,344.4,35.8,65.6,center,70.1
138,1.0,3.0,16:51:51.700,2025-09-03T00:14:43.378299,,,,,,False,0.0,445.8,bus,0.838,336.2,245.8,250.2,276.1,center,31.3
139,1.0,3.0,16:51:51.800,2025-09-03T00:14:44.097506,,,,,,False,0.0,440.9,bus,0.828,326.3,241.8,255.7,280.2,center,30.9
140,1.0,3.0,16:51:51.900,2025-09-03T00:14:44.808537,,,,,,False,0.0,443.8,bus,0.825,302.3,224.4,259.4,276.6,center,31.3
141,1.0,3.0,16:51:52.000,2025-09-03T00:14:45.524235,,,,,,False,0.0,441.2,bus,0.838,285.3,202.4,261.9,280.4,left,30.9
142,1.0,3.0,16:51:52.100,2025-09-03T00:14:46.249218,,,,,,False,0.0,435.2,bus,0.846,278.1,188.1,260.6,285.7,left,30.3
143,1.0,3.0,16:51:52.200,2025-09-03T00:14:46.954758,,,,,,False,0.0,438.5,bus,0.817,268.9,178.2,258.8,292.9,left,29.5
144,1.0,3.0,16:51:52.300,2025-09-03T00:14:47.677116,,,,,,False,0.0,440.4,truck,0.79,255.0,173.2,267.3,298.6,left,31.7
145,1.0,3.0,16:51:52.400,2025-09-03T00:14:48.404114,,,,,,False,0.0,442.0,bus,0.792,249.4,181.5,268.5,297.5,left,29.1
146,1.0,3.0,16:51:52.500,2025-09-03T00:14:49.124616,,,,,,False,0.0,443.1,truck,0.73,246.3,174.8,271.6,304.8,left,31.0
146,2.0,3.0,16:51:52.500,2025-09-03T00:14:49.124616,,,,,,False,0.0,443.1,bus,0.664,244.0,171.5,274.7,309.2,left,28.0
147,1.0,3.0,16:51:52.600,2025-09-03T00:14:49.849568,,,,,,False,0.0,445.2,bus,0.639,244.0,173.9,276.3,311.1,left,27.8
148,1.0,3.0,16:51:52.700,2025-09-03T00:14:50.571755,,,,,,False,0.0,443.0,bus,0.649,246.1,173.3,271.2,311.0,left,27.8
